AGE_REF,BLS_URBN,EDUC_REF,FAM_SIZE,FAM_TYPE,MARITAL1,NO_EARNR,PERSLT18,QINTRVMO,QINTRVYR,REGION,SEX_REF,TOTEXPPQ,FDHOMEPQ,FDAWAYPQ,ALCBEVPQ,HOUSPQ,SHELTPQ,APPARPQ,TRANSPQ,HEALTHPQ,ENTERTPQ,EDUCAPQ,TOBACCPQ,CUID,FINCBTXM,HIGH_EDU,quarter,GROCERPQ,food_home_pq,food_away_pq,food_total_pq,TOTEXPPQ_M,food_total_m,food_home_m,food_away_m,HOUSPQ_M,SHELTPQ_M,TRANSPQ_M,HEALTHPQ_M,EDUCAPQ_M,ENTERTPQ_M,APPARPQ_M,ALCBEVPQ_M,TOBACCPQ_M,FINCBTXM_M,share_food,share_food_home,share_food_away,share_housing,share_shelter,share_transport,share_health,share_education,share_entertainment,share_apparel,share_alcohol,share_tobacco,share_others,food_share_engel,oecd_scale,percapita_exp_m
74,1,16,2,1,1,0,0,4,2023,3,1,12549.0,676.0,584.0,6.0,4464.0,1684.0,0.0,3188.0,2464.0,594.0,0.0,0.0,509060,40677.0,16,232,,676.0,584.0,1260.0,4183.0,420.0,225.33333333333334,194.66666666666666,1488.0,561.3333333333334,1062.6666666666667,821.3333333333334,0.0,198.0,0.0,2.0,0.0,3389.75,0.10040640688501076,0.05386883417005339,0.04653757271495736,0.355725555821181,0.134193959678062,0.25404414694397964,0.19635030679735438,0.0,0.0473344489600765,0.0,0.0004781257470714798,0.0,0.0456610088453262,0.10040640688501076,1.7,2460.5882352941176
40,1,13,2,9,5,2,0,6,2023,3,2,10341.4167,416.0,1375.0,30.0,5353.0,2707.0,333.3333,467.0,476.0,80.0,0.0,0.0,527863,122000.0,13,232,,416.0,1375.0,1791.0,3447.1389,597.0,138.66666666666666,458.3333333333333,1784.3333333333333,902.3333333333334,155.66666666666666,158.66666666666666,0.0,26.666666666666668,111.11110000000001,10.0,0.0,10166.666666666666,0.17318710307843993,0.040226596806605806,0.13296050627183412,0.5176273382350022,0.26176297489298544,0.04515822285741566,0.04602850980755857,0.0,0.007735884001270349,0.03223284678200812,0.0029009565004763805,0.0,0.17512913873782887,0.17318710307843993,1.7,2027.7287647058824
49,1,12,2,1,1,2,0,6,2023,4,1,8674.25,762.6667,1213.3333,130.0,2574.6667,2454.6667,200.0,195.0,250.6667,75.0,0.0,0.0,527859,250000.0,12,232,,762.6667,1213.3333,1976.0,2891.4166666666665,658.6666666666666,254.22223333333332,404.44443333333334,858.2222333333334,818.2222333333334,65.0,83.55556666666666,0.0,25.0,66.66666666666667,43.333333333333336,0.0,20833.333333333332,0.22780067440989135,0.08792307115888982,0.13987760325100154,0.2968172118626971,0.28298316280946484,0.022480329711502437,0.028897795198432143,0.0,0.008646280658270169,0.023056748422053783,0.014986886474334958,0.0,0.37731407326281796,0.22780067440989135,1.7,1700.8333333333333
59,1,16,5,4,1,4,1,6,2023,2,2,5492.0167,520.0,0.0,0.0,2256.3333,1486.3333,0.0,1280.0,673.3333,14.0,0.0,0.0,527871,111297.8,16,232,,520.0,0.0,520.0,1830.6722333333335,173.33333333333334,173.33333333333334,0.0,752.1111,495.44443333333334,426.6666666666667,224.44443333333334,0.0,4.666666666666667,0.0,0.0,0.0,9274.816666666668,0.09468288761758499,0.09468288761758499,0.0,0.41083875436868206,0.27063524770418124,0.2330655695202092,0.12260219456361085,0.0,0.002549154666627288,0.0,0.0,0.0,0.1362614392632856,0.09468288761758499,3.5999999999999996,508.5200648148149
22,1,15,1,8,5,1,0,6,2023,2,1,2236.4166,329.3333,108.3333,21.6667,1025.0,900.0,33.3333,100.0,0.0,55.0,0.0,0.0,527852,70000.0,15,232,,329.3333,108.3333,437.6666,745.4722,145.88886666666667,109.77776666666666,36.1111,341.6666666666667,300.0,33.333333333333336,0.0,0.0,18.333333333333332,11.1111,7.222233333333333,0.0,5833.333333333333,0.1956999424883539,0.14725937019068808,0.048440572297665824,0.45832247891560096,0.40242949368199105,0.0447143881868879,0.0,0.0,0.024592913502788343,0.014904781157499904,0.009688132345288439,0.0,0.25207736340358056,0.1956999424883539,1.0,745.4722
75,1,14,1,8,4,1,0,6,2023,2,2,7373.5,34.6667,216.6667,21.6667,3469.3333,1860.0,0.0,68.0,467.3333,0.0,0.0,0.0,527845,60857.2,14,232,,34.6667,216.6667,251.33339999999998,2457.8333333333335,83.7778,11.555566666666666,72.22223333333334,1156.4444333333333,620.0,22.666666666666668,155.77776666666668,0.0,0.0,0.0,7.222233333333333,0.0,5071.433333333333,0.03408603783820438,0.004701525734047602,0.029384512104156775,0.47051377229266966,0.2522546958703465,0.009222214687733097,0.06338011799009968,0.0,0.0,0.0,0.0029384552790398043,0.0,0.41985940191225335,0.03408603783820438,1.0,2457.8333333333335
51,1,10,3,4,1,2,0,6,2023,4,1,2159.9334,693.3333,216.6667,0.0,369.0,5.0,133.3333,160.0,226.6667,13.0,0.0,0.0,527881,47251.8,13,232,,693.3333,216.6667,910.0,719.9778,303.3333333333333,231.1111,72.22223333333334,123.0,1.6666666666666667,53.333333333333336,75.55556666666666,0.0,4.333333333333333,44.444433333333336,0.0,0.0,3937.65,0.42130928666596845,0.3209975363129252,0.1003117503530433,0.17083860085685976,0.0023148861904723544,0.07407635809511534,0.10494152273398799,0.0,0.006018704095228121,0.06173028298002152,0.0,0.0,0.16108524457281892,0.42130928666596845,2.4,299.99075
38,1,16,4,2,1,2,2,6,2023,3,2,9037.4527,520.0,866.6667,86.6667,3997.3333,1007.3333,133.3333,700.0,700.0,40.0,0.0,0.0,527899,162172.6,16,232,,520.0,866.6667,1386.6667,3012.484233333333,462.22223333333335,173.33333333333334,288.8889,1332.4444333333333,335.77776666666665,233.33333333333334,233.33333333333334,0.0,13.333333333333334,44.444433333333336,28.888900000000003,0.0,13514.383333333333,0.15343556929487445,0.05753833710244481,0.09589723219242963,0.44230752101197723,0.11146208267291956,0.07745545379175263,0.07745545379175263,0.0,0.004426025930957293,0.014753416081502702,0.009589726538762411,0.0,0.2205768335584205,0.15343556929487445,2.7,1115.7349012345678
49,1,15,4,3,1,2,2,6,2023,3,1,7941.6026,416.0,433.3333,0.0,1951.6667,1061.6667,0.0,644.0,0.0,629.0,0.0,0.0,527895,284310.5,15,232,,416.0,433.3333,849.3333,2647.2008666666666,283.1111,138.66666666666666,144.44443333333334,650.5555666666667,353.8889,214.66666666666666,0.0,0.0,209.66666666666666,0.0,0.0,0.0,23692.541666666668,0.10694734334855789,0.05238237430817805,0.054564969040379836,0.24575224904857365,0.13368418862963502,0.08109194484246794,0.0,0.0,0.07920315730731729,0.0,0.0,0.0,0.4870053054530832,0.10694734334855789,2.7,980.4447654320986
57,1,16,2,1,1,2,0,6,2023,3,2,7189.4666,696.8,541.6667,86.6667,1016.3333,641.3333,156.6667,769.0,553.0,130.0,0.0,0.0,527890,192000.0,16,232,,696.8,541.6667,1238.4667,2396.4888666666666,412.8222333333333,232.26666666666665,180.55556666666666,338.77776666666665,213.77776666666668,256.3333333333333,184.33333333333334,0.0,43.333333333333336,52.22223333333333,28.888900000000003,0.0,16000.0,0.17226127735262028,0.09691956841415746,0.07534170893846283,0.1413642146970959,0.08920457325721494,0.1069620380460492,0.07691808457667779,0.0,0.018082009032492064,0.021791143726851724,0.012054677324740616,0.0,0.45056655524347244,0.17226127735262028,1.7,1409.6993333333332
